Spectral Centroid_Mean,Spectral Centroid_Std,Spectral Centroid_Range,Spectral Roll-off_Mean,Spectral Roll-off_Std,Spectral Roll-off_Range,Spectral Bandwidth_Mean,Spectral Bandwidth_Std,Spectral Bandwidth_Range,Spectral Contrast_Mean,Spectral Contrast_Std,Spectral Contrast_Range,Peak-CPU Usage,Processing Time
931.76,63.78,851.33 - 1057.49,1653.53,138.02,1484.05 - 2046.98,948.82,94.11,817.36 - 1078.06,21.93,0.72,20.95 - 23.35,15.5,1514.9330999993253
833.17,104.26,610.49 - 1017.01,1420.20,148.61,1038.65 - 1623.93,817.24,59.00,680.47 - 926.50,21.32,0.66,20.39 - 22.51,18.2,339.38359999956447
769.30,67.76,631.64 - 855.86,1328.08,150.22,1025.06 - 1538.22,828.66,59.96,719.30 - 891.79,20.71,0.85,18.49 - 22.09,12.9,329.5144999974582
585.62,39.81,541.18 - 675.03,886.21,89.83,777.51 - 1089.25,739.61,29.33,694.75 - 788.88,19.90,0.40,18.75 - 20.44,10.1,332.0724999975937
530.87,82.76,414.68 - 728.23,823.26,156.83,595.31 - 1144.66,713.67,97.72,584.83 - 925.75,20.08,0.33,19.58 - 20.61,15.5,328.34790000197245
719.14,72.66,611.77 - 875.15,1369.13,118.63,1187.56 - 1645.39,833.33,53.10,741.80 - 923.79,21.07,0.38,19.81 - 21.39,10.3,329.4851999999082
732.59,44.11,643.70 - 825.50,1358.62,87.25,1192.69 - 1472.71,824.41,30.75,760.31 - 869.69,20.78,0.44,19.46 - 21.26,24.1,328.3885000018927
965.66,51.00,889.01 - 1072.39,1743.75,68.32,1633.38 - 1882.50,983.55,27.55,932.00 - 1029.72,21.00,0.43,19.85 - 21.58,16.7,328.8288999974611
771.36,92.94,620.71 - 949.06,1376.92,231.62,994.42 - 1816.66,874.34,67.49,713.52 - 1000.98,20.77,0.43,19.50 - 21.35,14.3,328.88099999763654
775.05,62.94,679.38 - 912.91,1470.83,115.35,1306.40 - 1714.04,858.67,50.29,789.56 - 959.93,20.76,0.31,19.91 - 21.20,13.2,327.6240000013786
685.82,54.79,632.61 - 862.85,1208.20,133.06,1064.24 - 1611.10,828.14,43.07,766.62 - 939.10,20.78,0.23,20.25 - 21.07,11.9,331.19770000121207
732.76,134.36,553.91 - 933.62,1136.92,231.48,804.84 - 1457.55,854.95,100.44,707.12 - 1028.23,20.34,0.44,19.73 - 20.90,59.8,332.96360000167624
569.30,53.79,486.05 - 699.61,871.79,134.71,685.09 - 1201.22,727.39,57.36,634.10 - 843.10,19.96,0.48,18.39 - 20.37,11.8,323.8865999992413
808.72,74.16,699.05 - 1003.46,1478.56,138.36,1281.56 - 1785.19,874.04,54.74,795.00 - 1013.24,19.55,0.48,18.31 - 20.54,41.6,331.12959999925806
839.36,228.71,594.39 - 1160.44,1615.13,496.56,1053.97 - 2397.97,992.29,213.38,758.87 - 1364.63,19.68,0.57,18.63 - 20.81,28.9,330.7308000003104
